Year,Product Type,Product/Title
1969,Car,"Chrysler ""Scuba Diver""[4]"
1970,Car,"Pontiac""Humbler"""
1975,Security,"Master Lock""Rifle"""
1976,Copy,"Xerox""Monks"""
1979,Soft drink,"Coca-Cola""Hey Kid, Catch!"""
1981,Camera,"Polaroid""Now with a Flash"""
1982,Computer,"RadioShack""Color Computer"""
1982,Restaurant,"McDonald's""Hopscotch"""
1984,Computer,"Apple Inc.""1984"""
1984,Computer,"Atari""Get Started"""
1984,Beer,"Miller Lite""Train"""
1984,Security,"Master Lock""The Doubters"
1988,Food,Doritos tortilla chips
1989,Beer,Budweiser
1990,Car,"Nissan""Turbocharged Dream"""
1990,Credit card,"American Express""The Race"""
1992,Soft Drink,"Pepsi""Cindy Crawford"""
1993,Restaurant,"McDonald's""Showdown"""
1993,Footwear,"Nike""Hare Jordan"""
1993,Clothing,"Lee""Inhale"""
1993,Clothing,"Lee""The Date"""
1993,Car,"Subaru Impreza""Teaser"""
1993,Car,"Honda Prelude""Slingshot"""
1994,Car,Jeep
1994,Beer,Budweiser
1994,Car,Jeep Grand Cherokee
1994,Clothing,No Fear
1996,Film,Independence Day
1996,Restaurant,"McDonald's""Baby Swing"""
1997,Car,"Nissan""Pigeons"""
1997,Film,Dante's Peak
1997,Film,The Lost World: Jurassic Park
1997,Film,The Saint
1997,Food,"Eggo""Grandma"""
1997,Food,"Lays""Nuzzle and Nibble"""
1997,Food,"Lays""Party"""
1997,Soft drink,"Pepsi""Darth Vader"""
1998,Beer,"Bud Light""Chicken Pool"""
1998,Beer,"Bud Light""Shopping"""
1998,Beer,"Budweiser""Master Plan"""
1998,Car,"Pontiac""ACME Pontiac"""
1998,Computer,"Intel""Mystery"""
1998,Credit card,"Visa""Elephant"""
1998,Film,Armageddon
1998,Film,Lost in Space
1998,Film,Mercury Rising
1998,Film,Sphere
1998,Film,The Mask of Zorro
1998,Film,The Wedding Singer
1998,Food,"Doritos""Laundromat"""
1998,Food,"Hormel""Bold Innovations"""
1998,Food,"Tabasco Sauce""Mosquito"""
1998,Mail,"FedEx""We Apologize"""
1998,Restaurant,"Pizza Hut""Elvis"""
1998,Shoes,"Hilfiger""Have Some Fun"""
1998,Soft drink,"Pepsi""Mosquito"""
1998,Soft drink,"Pepsi""Goose"""
1998,Sports,"NFL""Anthony"""
1998,Tire,"Michelin""Drill"""
1998,Website,"Autobytel""Pajamas"""
1999,Beer,"Bud Light""Paper or Plastic"""
1999,Beer,"Budweiser""Dalmatians"""
1999,Beer,"Budweiser""Lashing"""
1999,Beer,"Budweiser""Lobster"""
1999,Credit card,"MasterCard""Toons"""
1999,Computer,"Apple Inc.""HAL"""
1999,Film,Austin Powers: The Spy Who Shagged Me
1999,Film,The Corruptor
1999,Film,Ed TVLife
1999,Film,8MM
1999,Film,The Matrix
1999,Film,"Mulan""Groundhog Day"""
1999,Film,The Mummy
1999,Film,October Sky
1999,Film,True Crime
1999,Film,Wild Wild West
1999,Food,"Doritos""Smokin"""
1999,Mail,"FedEx""Stanley Cup"""
1999,Restaurant,"Pizza Hut""New Yorker"""
1999,Sports,"WWF""HQ"""
1999,Website,"Buy.com""Aliens"""
1999,Website,HotJobs.com
1999,Website,"Monster.com""When I Grow Up"""
2000,Beer,"Bud Light""Elevator"""
2000,Beer,"Bud Light""Cat"""
2000,Beer,"Budweiser""Photo Shoot"""
2000,Beer,"Budweiser""Which Game?"""
2000,Beer,"Budweiser""Rex's Motivation"""
2000,Candy,"M&M's""Sexy Girl"""
2000,Credit card,"Visa""Swimmers"""
2000,Film,Gladiator
2000,Film,Mission to Mars
2000,Film,Titan A.E.
2000,Mail,"FedEx""Combat Rangers"""
2000,Mail,"FedEx""The Lollipop Guild"""
2000,TV,"Oxygen""Baby Girl Power"""
2000,Website,"AutoTrader.com""I Need a Car"""
2000,Website,"Britannica.com[12]""Untitled"""
2000,Website,"Computer.com""Mike and Mike"""
2000,Website,"e1040.com""Charity"""
2000,Website,"EDS""Cat Herders"""
2000,Website,"Epidemic.com""Bathroom"""
2000,Website,"E*Trade""Wasted 2 Million"""
2000,Website,"E*Trade""Out the Wazoo"""
2000,Website,"E*Trade""Basketball Prodigy"""
2000,Website,"e-stamp.com""Time Saving Tips"""
2000,Website,"Hotjobs.com""Negotiations"""
2000,Website,"Kforce""Looking for a Job"""
2000,Website,"LastMinuteTravel.com""Tornado"""
2000,Website,"LifeMinders.com""The Worst Commercial"""
2000,Website,"MicroStrategy""Fraud"""
2000,Website,"MicroStrategy""Stock Alert"""
2000,Website,"Monster.com""The Road Less Travelled"""
2000,Website,"OnMoney.com""Paper Monster"""
2000,Website,"Netpliance""Webhead"""
2000,Website,"OurBeginning.com""Invites"""
2000,Website,"Pets.com""If You Leave Me Now"""
2000,Website,"WebMD""Ali"""
2001,Beer,"Budweiser""We Are Not Alone"""
2001,Beer,"Budweiser""What Are You Doing?"""
2001,Film,A Knight's Tale
2001,Film,Exit Wounds
2001,Film,Hannibal
2001,Film,Swordfish
2001,Film,The Fast and the Furious
2001,Film,The Mummy Returns
2001,Food,"George Foreman Grill""Colors"""
2001,Gaming,"PlayStation 2""Future"""
2001,Soft drink,"Pepsi""The Best Pepsi Ad Ever"""
2001,Soft drink,"Pepsi""Bob Dole"""
2001,Soft drink,"Pepsi""Rollercoaster"""
2001,Website,"E*Trade""Ghost Town"""
2002,Beer,"Budweiser""Clydesdale Respect"""
2002,Film,Austin Powers in Goldmember
2002,Film,Blade II
2002,Film,Collateral Damage
2002,Film,Spider-Man
2002,Food,"Lipton Brisk""Puppet Strike"""
2002,Gaming,Madden NFL 2002
2002,Soft drink,"Pepsi""Now and Then""[14]"
2002,Soft drink,"Pepsi""The Joy of Pepsi"""
2002,Website,"Yahoo!""Dolphin"""
2003,Film,Anger Management
2003,Film,Bad Boys II
2003,Film,Bruce Almighty
2003,Film,Charlie's Angels: Full Throttle
2003,Film,Daredevil
2003,Film,Gods and Generals
2003,Film,Hulk
2003,Film,The Matrix Reloaded
2003,Film,Tears of the Sun
2003,Film,Terminator 3: Rise of the Machines
2003,Mail,"FedEx""Cast Away"""
2004,Beer,"Budweiser""Donkey"""
2004,Car,"Ford""The One"""
2004,Gaming,"PlayStation 2""Going Back"""
2004,Film,50 First Dates
2004,Film,Hidalgo
2004,Film,Starsky & Hutch
2004,Film,Secret Window
2004,Film,The Alamo
2004,Film,Troy
2004,Film,Van Helsing
2004,Potato chips,"Lay's""Dentures"""
2004,PSA,"Truth ""Shards O'Glass"""
2004,Credit card,"MasterCard""Errands"""
2004,Soft drink,"Pepsi""Bear's Disguise"""
2004,Soft drink,"Pepsi""Hendrix"""
2005,Beer,"Budweiser""Audition"""
2005,Beer,"Budweiser""Welcome Home"""
2005,Beer,"Heineken""Beer Run"""
2005,Car,"Ford""Gang"""
2005,Credit card,MastercardIcons
2005,Film,Batman Begins
2005,Film,Be Cool
2005,Film,Constantine
2005,Film,Hitch
2005,Film,Robots
2005,Film,Sahara
2005,Film,The Pacifier
